date ,Return,PER,PBR,BaseRate,M2,GDP G.R,CPI,Long-term interest rate,Foreign Net Buy,Institutional Net buy,Bubble
2005/01,4.105277257,16.82,1.23,3.25,902992.8,0.9,73.594,4.42,858.583,98.416,
2005/02,8.433579929,18.26,1.33,3.25,910391,0.9,73.892,4.88,1464.029,-892.894,
2005/03,-4.516690397,17.49,1.27,3.25,922942.5,0.9,74.338,4.77,-2074.037,1692.175,
2005/04,-5.631265015,7.37,1.07,3.25,930989.1,1.9,74.413,4.69,-188.762,95.31,
2005/05,6.464391529,7.84,1.14,3.25,933697.1,1.9,74.338,4.42,140.17,1725.482,
2005/06,3.911524309,8.15,1.18,3.25,939150.7,1.9,74.114,4.46,48.489,1412.632,
2005/07,10.22952706,8.89,1.3,3.25,948372.8,1.4,74.413,4.89,1744.748,301.009,
2005/08,-2.515994925,8.68,1.27,3.25,960979,1.4,74.636,5.08,-1047.62,1397.335,
2005/09,12.70896218,9.76,1.43,3.25,957486.9,1.4,75.008,5.15,-792.018,1744.094,
2005/10,-5.151472961,9.24,1.35,3.5,957390.9,1.1,74.859,5.36,-2648.909,1232.584,
2005/11,12.03080882,10.16,1.53,3.5,955328.2,1.1,74.561,5.68,40.971,1813.022,
2005/12,6.314742878,10.98,1.63,3.75,960235.2,1.1,74.785,5.6,-568.519,1680.899,
2006/01,1.483285848,11.13,1.65,3.75,957326.7,1.6,75.231,5.58,2144.056,-704.331,
2006/02,-2.017387826,11.1,1.64,4,961576.6,1.6,75.381,5.28,-525.954,829.522,
2006/03,-0.874167936,11,1.63,4,965391.3,1.6,75.827,5.42,193.995,925.261,
2006/04,4.422624301,11.7,1.46,4,971394.3,0.7,75.902,5.45,465.957,575.248,
2006/05,-7.18657773,10.85,1.36,4,977381.9,0.7,76.05,5.2,-3537.157,2413.216,
2006/06,-1.71131517,10.68,1.33,4.25,987668.5,0.7,75.902,5.25,-2670.099,2370.837,
2006/07,0.206153727,10.39,1.33,4.25,991033.5,1.6,76.199,5.16,-1583.241,1546.234,
2006/08,4.23171164,10.82,1.38,4.5,998024.7,1.6,76.645,4.94,-2447.388,3156.678,
2006/09,1.380161746,10.87,1.4,4.5,1011962.9,1.6,76.868,4.89,-1561.478,1957.99,
2006/10,-0.500215107,10.82,1.4,4.5,1023316.4,0.8,76.496,4.79,-645.123,1272.774,
2006/11,4.958411198,11.35,1.46,4.5,1030437.4,0.8,76.125,4.91,-1599.586,1249.074,
2006/12,0.157099867,11.4,1.46,4.5,1041540.1,0.8,76.348,4.95,1012.557,-1003.688,
2007/01,-5.1747696,10.82,1.39,4.5,1049517.4,1.8,76.496,5.04,50.44,-813.389,
2007/02,4.198554656,11.3,1.45,4.5,1057158.9,1.8,77.017,5.01,1245.112,-383.472,
2007/03,2.484231024,11.62,1.48,4.5,1059549,1.8,77.464,4.94,-1083.432,715.067,
2007/04,6.174658359,13.21,1.42,4.5,1063156.2,1.7,77.761,5.07,2741.637,-2724.883,
2007/05,10.28828198,14.47,1.57,4.5,1064962.8,1.7,77.836,5.22,243.897,-911.01,
