date ,Dividend Yield
2005/01,1.95
2005/02,1.79
2005/03,1.86
2005/04,2.71
2005/05,2.54
2005/06,2.45
2005/07,2.22
2005/08,2.27
2005/09,2.02
2005/10,2.13
2005/11,1.89
2005/12,1.74
2006/01,1.72
2006/02,1.72
2006/03,1.73
2006/04,1.61
2006/05,1.73
2006/06,1.76
2006/07,1.84
2006/08,1.76
2006/09,1.74
2006/10,1.74
2006/11,1.66
2006/12,1.66
2007/01,1.75
2007/02,1.68
2007/03,1.64
2007/04,1.78
2007/05,1.61
2007/06,1.56
2007/07,1.37
2007/08,1.41
2007/09,1.35
2007/10,1.28
2007/11,1.38
2007/12,1.39
2008/01,1.62
2008/02,1.54
2008/03,1.54
2008/04,1.67
2008/05,1.64
2008/06,1.81
2008/07,1.9
2008/08,2.12
2008/09,2.15
2008/10,2.66
2008/11,2.71
2008/12,2.58
2009/01,2.5
2009/02,2.73
2009/03,2.52
2009/04,2.23
2009/05,1.47
2009/06,1.49
2009/07,1.33
2009/08,1.25
2009/09,1.19
2009/10,1.26
2009/11,1.28
2009/12,1.17
2010/01,1.23
2010/02,1.23
2010/03,1.15
2010/04,1.3
2010/05,1.35
2010/06,1.3
2010/07,1.31
2010/08,1.32
2010/09,1.23
2010/10,1.22
2010/11,1.21
2010/12,1.12
2011/01,1.11
2011/02,1.18
2011/03,1.09
2011/04,1.25
2011/05,1.28
2011/06,1.3
2011/07,1.31
2011/08,1.49
2011/09,1.59
2011/10,1.47
2011/11,1.52
2011/12,1.54
2012/01,1.44
2012/02,1.38
2012/03,1.39
2012/04,1.36
2012/05,1.46
2012/06,1.45
2012/07,1.42
2012/08,1.39
2012/09,1.33
2012/10,1.39
2012/11,1.37
2012/12,1.33
2013/01,1.35
2013/02,1.31
2013/03,1.32
2013/04,1.21
2013/05,1.18
2013/06,1.27
2013/07,1.21
2013/08,1.2
2013/09,1.16
2013/10,1.13
2013/11,1.13
2013/12,1.14
2014/01,1.19
2014/02,1.16
2014/03,1.16
2014/04,1.12
2014/05,1.1
2014/06,1.09
2014/07,1.05
2014/08,1.05
2014/09,1.08
2014/10,1.13
2014/11,1.11
2014/12,1.13
2015/01,1.11
2015/02,1.09
2015/03,1.06
2015/04,1.02
2015/05,1.25
2015/06,1.28
2015/07,1.3
2015/08,1.36
2015/09,1.33
2015/10,1.28
2015/11,1.31
2015/12,1.33
2016/01,1.36
2016/02,1.36
2016/03,1.3
2016/04,1.28
2016/05,1.68
2016/06,1.69
2016/07,1.65
2016/08,1.64
2016/09,1.63
2016/10,1.56
2016/11,1.56
2016/12,1.52
2017/01,1.49
2017/02,1.48
2017/03,1.43
2017/04,1.4
2017/05,1.44
2017/06,1.42
2017/07,1.41
2017/08,1.43
2017/09,1.4
2017/10,1.33
2017/11,1.35
2017/12,1.36
2018/01,1.31
2018/02,1.35
2018/03,1.34
2018/04,1.3
2018/05,1.61
2018/06,1.67
2018/07,1.7
2018/08,1.68
2018/09,1.66
2018/10,1.91
2018/11,1.85
2018/12,1.93
2019/01,1.78
2019/02,1.77
2019/03,1.81
2019/04,1.76
2019/05,2.2
2019/06,2.09
2019/07,2.2
2019/08,2.26
2019/09,2.16
2019/10,2.13
2019/11,2.13
2019/12,2.02
2020/01,2.09
2020/02,2.22
2020/03,2.51
2020/04,2.27
2020/05,2.15
2020/06,2.06
2020/07,1.92
2020/08,1.85
2020/09,1.85
2020/10,1.89
2020/11,1.65
2020/12,1.48
2021/01,1.43
2021/02,1.41
2021/03,1.38
2021/04,1.34
2021/05,1.79
2021/06,1.73
2021/07,1.78
2021/08,1.73
2021/09,1.79
2021/10,1.85
2021/11,1.92
2021/12,1.82
2022/01,1.92
2022/02,1.89
2022/03,1.85
2022/04,1.89
2022/05,1.85
2022/06,2.13
2022/07,2.02
2022/08,2
2022/09,2.3
2022/10,2.16
2022/11,2
2022/12,2.22
2023/01,2.04
2023/02,2.05
2023/03,2
2023/04,1.98
2023/05,1.93
2023/06,1.94
2023/07,1.88
2023/08,1.94
2023/09,2
2023/10,2.16
2023/11,1.94
2023/12,1.83
2024/01,1.93
2024/02,1.83
2024/03,1.76
2024/04,1.79
2024/05,1.89
2024/06,1.78
2024/07,1.79
2024/08,1.86
2024/09,1.92
2024/10,1.94
2024/11,2.01
2024/12,2.06
2025/01,1.96
2025/02,1.96
2025/03,2.01
2025/04,1.95
2025/05,2.04
2025/06,1.79
2025/07,1.69
2025/08,1.72
2025/09,1.6
2025/10,1.34
2025/11,1.4
2025/12,1.3
