,N,Mean,Std,Min,Max,Skewness,Kurtosis
Return,252,0.764363809563492,5.434445746805454,-23.13440051,19.94101501,-0.20938777087441376,1.9318657654089106
PER,252,14.840317460317461,4.44733268671318,7.37,32.6,1.583328447832289,3.40268833134635
PBR,252,1.1612698412698412,0.21821070312736096,0.71,1.9,0.6798754260864539,0.41858956620594956
BaseRate,252,2.5069444444444446,1.2032912157451043,0.5,5.25,0.3553485318138294,-0.5800296140248191
M2,252,2225007.3817460313,966789.4323422728,902992.8,4080672.2,0.4485982748678623,-1.0635722445932096
GDP G.R,252,0.7702380952380953,0.8940413319551653,-3.4,3.1,-1.697238575369822,6.971253580661216
CPI,252,94.70180555555555,11.758215880782787,73.594,117.57,0.06431481662198395,-0.6937560599450001
Long-term interest rate,252,3.443214285714286,1.3121304965415856,1.25,6.03,0.2328225801050941,-1.149341896317453
Foreign Net Buy,252,-157.84599206349208,3279.9426961863223,-14456.161,7858.311,-0.5983551205296318,1.824142779424717
Institutional Net buy,252,23.531658730158682,2550.4018026559265,-17382.6,7860.542,-1.343533843429785,8.126644338784194
Sentiment,252,100.00015873015873,9.999972508657589,58.0,119.92,-0.930028058106287,1.8257108187036808
log(kospi),252,3.3012794349642856,0.11887758435951179,2.955856049,3.611515137,-0.48893353774414516,0.5626721369136125
