,Return,PER,Dividend Yield,BaseRate,M2,GDP G.R,CPI,Long-term interest rate,Foreign Net Buy,Institutional Net buy,Bubble,Unnamed: 12
Return,1.0,0.20670791858877022,-0.13109908881255347,-0.04785300344761472,0.008970457623219222,0.1676312811049028,-0.015127234793009784,-0.007723603872311399,0.534826494448357,-0.14969921089229712,,
PER,0.20670791858877022,1.0,-0.3331332983436821,-0.36172516998377374,0.2321718231028471,0.21587293059412552,0.20124887400934913,-0.2139254040953453,0.04337088909020611,-0.38343989884500773,,
Dividend Yield,-0.13109908881255347,-0.3331332983436821,1.0,0.10311680945958271,0.26741748496826295,-0.3545403865670421,0.12982921723376636,0.012456852610317695,-0.19919264626997066,0.09359167046472756,,
BaseRate,-0.04785300344761472,-0.36172516998377374,0.10311680945958271,1.0,-0.38025752268652835,0.026023939411149638,-0.39595272151015437,0.7848251808779833,-0.06512088868283826,0.4218871838587342,,
M2,0.008970457623219222,0.2321718231028471,0.26741748496826295,-0.38025752268652835,1.0,-0.25493496366916235,0.971471675273779,-0.6006804727929842,-0.012725682895054592,-0.1486854942992464,,
GDP G.R,0.1676312811049028,0.21587293059412552,-0.3545403865670421,0.026023939411149638,-0.25493496366916235,1.0,-0.2745357044030123,0.1955867988285221,0.1760003019910135,-0.11123967611669074,,
CPI,-0.015127234793009784,0.20124887400934913,0.12982921723376636,-0.39595272151015437,0.971471675273779,-0.2745357044030123,1.0,-0.6412324985787962,0.02908760108933393,-0.1285946428642271,,
Long-term interest rate,-0.007723603872311399,-0.2139254040953453,0.012456852610317695,0.7848251808779833,-0.6006804727929842,0.1955867988285221,-0.6412324985787962,1.0,0.006109331002185456,0.2365320342009301,,
Foreign Net Buy,0.534826494448357,0.04337088909020611,-0.19919264626997066,-0.06512088868283826,-0.012725682895054592,0.1760003019910135,0.02908760108933393,0.006109331002185456,1.0,-0.3967198064890839,,
Institutional Net buy,-0.14969921089229712,-0.38343989884500773,0.09359167046472756,0.4218871838587342,-0.1486854942992464,-0.11123967611669074,-0.1285946428642271,0.2365320342009301,-0.3967198064890839,1.0,,
Bubble,,,,,,,,,,,,
Unnamed: 12,,,,,,,,,,,,
