C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.99,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200401,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.99,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200402,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.83,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200403,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.21,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200404,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.39,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200405,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.42,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200406,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.52,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200407,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.33,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200408,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.22,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200409,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.22,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200410,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.1,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200411,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.06,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200412,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.95,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200501,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.79,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200502,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.86,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200503,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.71,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200504,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
